Method,dataset,Lsel,Rmax,centroid_heap_k,max_score,calib_heap_front_alpha,repeats,Q,D_logits,D_in,enum_ms_p50,refine_ms_p50,total_ms_p50,total_qps_p50,refined_vecs_p50,refined_vecs_mean,recall_p50,train_time_s,add_time_s,build_time_s
NeuRoute,img1536,13,5,1000,0.09,0.7,1,10000,16,1536,66.281491,23251.08199,23541.79744,424.776402,492949606,492949606,0.92651,,,
NeuRoute,img1536,13,5,1000,0.09,0.7,1,10000,16,1536,66.281491,23251.08199,23541.79744,424.776402,492949606,492949606,0.92651,,,
NeuRoute,img1536,12,5,1000,0.09,0.7,1,10000,16,1536,60.610907,22615.18561,22899.82319,436.684594,482521559,482521559,0.92507,,,
NeuRoute,img1536,12,5,1000,0.09,0.7,1,10000,16,1536,60.610907,22615.18561,22899.82319,436.684594,482521559,482521559,0.92507,,,
NeuRoute,img1536,13,5,800,0.09,0.7,1,10000,16,1536,56.973857,19180.81899,19460.18951,513.86961,416256886,416256886,0.92242,,,
NeuRoute,img1536,13,5,800,0.09,0.7,1,10000,16,1536,56.973857,19180.81899,19460.18951,513.86961,416256886,416256886,0.92242,,,
NeuRoute,img1536,12,5,800,0.09,0.7,1,10000,16,1536,53.690502,18875.5804,19151.25401,522.159019,406324784,406324784,0.9211,,,
NeuRoute,img1536,12,5,800,0.09,0.7,1,10000,16,1536,53.690502,18875.5804,19151.25401,522.159019,406324784,406324784,0.9211,,,
NeuRoute,img1536,13,5,1000,0.09,0.6,1,10000,16,1536,61.032329,21995.49155,22280.55745,448.821805,468174617,468174617,0.9166,,,
NeuRoute,img1536,13,5,1000,0.09,0.6,1,10000,16,1536,61.032329,21995.49155,22280.55745,448.821805,468174617,468174617,0.9166,,,
NeuRoute,img1536,13,4,1000,0.09,0.7,1,10000,16,1536,52.488412,21871.18277,22147.04975,451.527409,469763158,469763158,0.91547,,,
NeuRoute,img1536,13,4,1000,0.09,0.7,1,10000,16,1536,52.488412,21871.18277,22147.04975,451.527409,469763158,469763158,0.91547,,,
NeuRoute,img1536,12,5,1000,0.09,0.6,1,10000,16,1536,55.610342,21587.82955,21866.06241,457.329711,457769856,457769856,0.91528,,,
NeuRoute,img1536,12,5,1000,0.09,0.6,1,10000,16,1536,55.610342,21587.82955,21866.06241,457.329711,457769856,457769856,0.91528,,,
NeuRoute,img1536,12,4,1000,0.09,0.7,1,10000,16,1536,48.959094,21242.13702,21512.8287,464.838917,462927571,462927571,0.91376,,,
NeuRoute,img1536,12,4,1000,0.09,0.7,1,10000,16,1536,48.959094,21242.13702,21512.8287,464.838917,462927571,462927571,0.91376,,,
NeuRoute,img1536,13,5,800,0.09,0.6,1,10000,16,1536,53.07763,18336.02938,18612.14662,537.283539,398835123,398835123,0.91309,,,
NeuRoute,img1536,13,5,800,0.09,0.6,1,10000,16,1536,53.07763,18336.02938,18612.14662,537.283539,398835123,398835123,0.91309,,,
NeuRoute,img1536,13,4,800,0.09,0.7,1,10000,16,1536,46.566033,18446.22099,18713.57412,534.371464,395151873,395151873,0.91228,,,
NeuRoute,img1536,13,4,800,0.09,0.7,1,10000,16,1536,46.566033,18446.22099,18713.57412,534.371464,395151873,395151873,0.91228,,,
NeuRoute,img1536,12,5,800,0.09,0.6,1,10000,16,1536,49.045787,17858.06579,18130.24571,551.564505,388888954,388888954,0.91184,,,
NeuRoute,img1536,12,5,800,0.09,0.6,1,10000,16,1536,49.045787,17858.06579,18130.24571,551.564505,388888954,388888954,0.91184,,,
NeuRoute,img1536,12,4,800,0.09,0.7,1,10000,16,1536,44.666912,18132.7052,18398.36091,543.526679,388977772,388977772,0.91097,,,
NeuRoute,img1536,12,4,800,0.09,0.7,1,10000,16,1536,44.666912,18132.7052,18398.36091,543.526679,388977772,388977772,0.91097,,,
NeuRoute,img1536,13,5,500,0.09,0.7,1,10000,16,1536,42.110996,13703.37955,13968.36503,715.903399,294785840,294785840,0.90964,,,
NeuRoute,img1536,13,5,500,0.09,0.7,1,10000,16,1536,42.110996,13703.37955,13968.36503,715.903399,294785840,294785840,0.90964,,,
NeuRoute,img1536,12,5,500,0.09,0.7,1,10000,16,1536,39.299588,13302.76866,13562.83571,737.308939,285226648,285226648,0.90844,,,
NeuRoute,img1536,12,5,500,0.09,0.7,1,10000,16,1536,39.299588,13302.76866,13562.83571,737.308939,285226648,285226648,0.90844,,,
NeuRoute,img1536,13,4,1000,0.09,0.6,1,10000,16,1536,47.601982,20921.28971,21191.2451,471.892989,444791355,444791355,0.90619,,,
NeuRoute,img1536,13,4,1000,0.09,0.6,1,10000,16,1536,47.601982,20921.28971,21191.2451,471.892989,444791355,444791355,0.90619,,,
NeuRoute,img1536,12,4,1000,0.09,0.6,1,10000,16,1536,44.831211,20394.95114,20661.90169,483.982556,438136855,438136855,0.90457,,,
NeuRoute,img1536,12,4,1000,0.09,0.6,1,10000,16,1536,44.831211,20394.95114,20661.90169,483.982556,438136855,438136855,0.90457,,,
NeuRoute,img1536,13,4,800,0.09,0.6,1,10000,16,1536,42.94325,17381.60934,17646.69027,566.678502,377601995,377601995,0.90338,,,
NeuRoute,img1536,13,4,800,0.09,0.6,1,10000,16,1536,42.94325,17381.60934,17646.69027,566.678502,377601995,377601995,0.90338,,,
NeuRoute,img1536,12,4,800,0.09,0.6,1,10000,16,1536,40.334424,17064.70156,17327.03729,577.132711,371490051,371490051,0.90218,,,
NeuRoute,img1536,12,4,800,0.09,0.6,1,10000,16,1536,40.334424,17064.70156,17327.03729,577.132711,371490051,371490051,0.90218,,,
NeuRoute,img1536,13,5,500,0.09,0.6,1,10000,16,1536,39.453217,13521.91285,13783.00183,725.531355,286943058,286943058,0.90203,,,
NeuRoute,img1536,13,5,500,0.09,0.6,1,10000,16,1536,39.453217,13521.91285,13783.00183,725.531355,286943058,286943058,0.90203,,,
NeuRoute,img1536,13,4,500,0.09,0.7,1,10000,16,1536,35.293995,12857.44253,13113.91457,762.548814,276057281,276057281,0.90185,,,
NeuRoute,img1536,13,4,500,0.09,0.7,1,10000,16,1536,35.293995,12857.44253,13113.91457,762.548814,276057281,276057281,0.90185,,,
NeuRoute,img1536,12,5,500,0.09,0.6,1,10000,16,1536,37.074022,13116.62077,13374.54323,747.689086,277415265,277415265,0.90086,,,
NeuRoute,img1536,12,5,500,0.09,0.6,1,10000,16,1536,37.074022,13116.62077,13374.54323,747.689086,277415265,277415265,0.90086,,,
NeuRoute,img1536,12,4,500,0.09,0.7,1,10000,16,1536,34.117913,12718.23956,12973.1651,770.821918,270405570,270405570,0.90066,,,
NeuRoute,img1536,12,4,500,0.09,0.7,1,10000,16,1536,34.117913,12718.23956,12973.1651,770.821918,270405570,270405570,0.90066,,,
NeuRoute,img1536,13,5,1000,0.09,0.5,1,10000,16,1536,51.340072,20139.36536,20414.31722,489.852288,428312818,428312818,0.89893,,,
NeuRoute,img1536,13,5,1000,0.09,0.5,1,10000,16,1536,51.340072,20139.36536,20414.31722,489.852288,428312818,428312818,0.89893,,,
NeuRoute,img1536,12,5,1000,0.09,0.5,1,10000,16,1536,46.86737,19686.01084,19956.07223,501.100612,418093289,418093289,0.89766,,,
NeuRoute,img1536,12,5,1000,0.09,0.5,1,10000,16,1536,46.86737,19686.01084,19956.07223,501.100612,418093289,418093289,0.89766,,,
NeuRoute,img1536,13,5,800,0.09,0.5,1,10000,16,1536,46.141846,17476.48911,17746.08387,563.504606,370111325,370111325,0.89612,,,
NeuRoute,img1536,13,5,800,0.09,0.5,1,10000,16,1536,46.141846,17476.48911,17746.08387,563.504606,370111325,370111325,0.89612,,,
NeuRoute,img1536,12,5,800,0.09,0.5,1,10000,16,1536,42.650029,16688.63998,16953.35055,589.853903,360251172,360251172,0.89508,,,
NeuRoute,img1536,12,5,800,0.09,0.5,1,10000,16,1536,42.650029,16688.63998,16953.35055,589.853903,360251172,360251172,0.89508,,,
NeuRoute,img1536,13,4,500,0.09,0.6,1,10000,16,1536,33.548673,12428.25685,12682.0122,788.518402,268136541,268136541,0.89447,,,
NeuRoute,img1536,13,4,500,0.09,0.6,1,10000,16,1536,33.548673,12428.25685,12682.0122,788.518402,268136541,268136541,0.89447,,,
NeuRoute,img1536,12,4,500,0.09,0.6,1,10000,16,1536,32.14373,12117.76547,12375.34807,808.05808,262493004,262493004,0.89337,,,
NeuRoute,img1536,12,4,500,0.09,0.6,1,10000,16,1536,32.14373,12117.76547,12375.34807,808.05808,262493004,262493004,0.89337,,,
NeuRoute,img1536,13,4,1000,0.09,0.5,1,10000,16,1536,40.346166,19110.87214,19373.93864,516.157307,404894465,404894465,0.88927,,,
NeuRoute,img1536,13,4,1000,0.09,0.5,1,10000,16,1536,40.346166,19110.87214,19373.93864,516.157307,404894465,404894465,0.88927,,,
NeuRoute,img1536,12,4,1000,0.09,0.5,1,10000,16,1536,37.323292,18719.0981,18977.79073,526.931725,398379554,398379554,0.88785,,,
NeuRoute,img1536,12,4,1000,0.09,0.5,1,10000,16,1536,37.323292,18719.0981,18977.79073,526.931725,398379554,398379554,0.88785,,,
NeuRoute,img1536,13,5,500,0.09,0.5,1,10000,16,1536,36.470257,12765.55665,13024.86081,767.762523,273423309,273423309,0.8875,,,
NeuRoute,img1536,13,5,500,0.09,0.5,1,10000,16,1536,36.470257,12765.55665,13024.86081,767.762523,273423309,273423309,0.8875,,,
NeuRoute,img1536,13,4,800,0.09,0.5,1,10000,16,1536,37.3388,16325.65718,16584.10722,602.986936,349030598,349030598,0.88718,,,
NeuRoute,img1536,13,4,800,0.09,0.5,1,10000,16,1536,37.3388,16325.65718,16584.10722,602.986936,349030598,349030598,0.88718,,,
NeuRoute,img1536,12,5,500,0.09,0.5,1,10000,16,1536,33.614407,12266.31175,12521.62212,798.618574,263961336,263961336,0.88634,,,
NeuRoute,img1536,12,5,500,0.09,0.5,1,10000,16,1536,33.614407,12266.31175,12521.62212,798.618574,263961336,263961336,0.88634,,,
NeuRoute,img1536,12,4,800,0.09,0.5,1,10000,16,1536,35.790569,15842.48357,16101.12501,621.074614,343056150,343056150,0.88615,,,
NeuRoute,img1536,12,4,800,0.09,0.5,1,10000,16,1536,35.790569,15842.48357,16101.12501,621.074614,343056150,343056150,0.88615,,,
NeuRoute,img1536,13,4,500,0.09,0.5,1,10000,16,1536,30.340068,12041.54347,12290.92239,813.608587,254754726,254754726,0.88062,,,
NeuRoute,img1536,13,4,500,0.09,0.5,1,10000,16,1536,30.340068,12041.54347,12290.92239,813.608587,254754726,254754726,0.88062,,,
NeuRoute,img1536,12,4,500,0.09,0.5,1,10000,16,1536,31.632479,11531.61034,11790.30096,848.15477,249193230,249193230,0.87954,,,
NeuRoute,img1536,12,4,500,0.09,0.5,1,10000,16,1536,31.632479,11531.61034,11790.30096,848.15477,249193230,249193230,0.87954,,,
NeuRoute,img1536,13,5,200,0.09,0.7,1,10000,16,1536,25.244867,7387.194558,7635.211106,1309.721481,158170215,158170215,0.86399,,,
NeuRoute,img1536,13,5,200,0.09,0.7,1,10000,16,1536,25.244867,7387.194558,7635.211106,1309.721481,158170215,158170215,0.86399,,,
NeuRoute,img1536,12,5,200,0.09,0.7,1,10000,16,1536,23.28474,6992.556298,7237.807165,1381.633936,148836575,148836575,0.86359,,,
NeuRoute,img1536,12,5,200,0.09,0.7,1,10000,16,1536,23.28474,6992.556298,7237.807165,1381.633936,148836575,148836575,0.86359,,,
NeuRoute,img1536,13,4,200,0.09,0.7,1,10000,16,1536,21.369087,6602.062183,6847.426723,1460.402631,140457058,140457058,0.86024,,,
NeuRoute,img1536,13,4,200,0.09,0.7,1,10000,16,1536,21.369087,6602.062183,6847.426723,1460.402631,140457058,140457058,0.86024,,,
NeuRoute,img1536,13,5,200,0.09,0.6,1,10000,16,1536,24.823734,7282.190464,7529.109598,1328.178302,157122218,157122218,0.85994,,,
NeuRoute,img1536,13,5,200,0.09,0.6,1,10000,16,1536,24.823734,7282.190464,7529.109598,1328.178302,157122218,157122218,0.85994,,,
NeuRoute,img1536,12,4,200,0.09,0.7,1,10000,16,1536,20.733132,6287.385401,6529.623001,1531.481986,135057708,135057708,0.8599,,,
NeuRoute,img1536,12,4,200,0.09,0.7,1,10000,16,1536,20.733132,6287.385401,6529.623001,1531.481986,135057708,135057708,0.8599,,,
NeuRoute,img1536,12,5,200,0.09,0.6,1,10000,16,1536,22.548015,6968.240219,7212.981778,1386.389195,147795838,147795838,0.8596,,,
NeuRoute,img1536,12,5,200,0.09,0.6,1,10000,16,1536,22.548015,6968.240219,7212.981778,1386.389195,147795838,147795838,0.8596,,,
NeuRoute,img1536,13,4,200,0.09,0.6,1,10000,16,1536,21.177246,6498.765239,6742.68335,1483.089073,139398605,139398605,0.85633,,,
NeuRoute,img1536,13,4,200,0.09,0.6,1,10000,16,1536,21.177246,6498.765239,6742.68335,1483.089073,139398605,139398605,0.85633,,,
NeuRoute,img1536,12,4,200,0.09,0.6,1,10000,16,1536,20.311228,6171.194178,6413.50764,1559.209182,134006221,134006221,0.85605,,,
NeuRoute,img1536,12,4,200,0.09,0.6,1,10000,16,1536,20.311228,6171.194178,6413.50764,1559.209182,134006221,134006221,0.85605,,,
NeuRoute,img1536,13,5,200,0.09,0.7,1,10000,16,1536,23.615643,7203.837475,7450.965393,1342.107965,152517228,152517228,0.85568,,,
NeuRoute,img1536,12,5,200,0.09,0.7,1,10000,16,1536,21.696814,6669.535037,6915.009746,1446.12956,143159969,143159969,0.85525,,,
NeuRoute,img1536,13,4,200,0.09,0.7,1,10000,16,1536,20.06769,6316.040142,6560.908732,1524.179105,134744205,134744205,0.85193,,,
NeuRoute,img1536,13,5,200,0.09,0.5,1,10000,16,1536,23.63577,7306.564413,7552.683301,1324.032745,155117102,155117102,0.85163,,,
NeuRoute,img1536,13,5,200,0.09,0.5,1,10000,16,1536,23.63577,7306.564413,7552.683301,1324.032745,155117102,155117102,0.85163,,,
NeuRoute,img1536,12,4,200,0.09,0.7,1,10000,16,1536,19.072218,6014.428251,6256.27691,1598.394723,129319911,129319911,0.85163,,,
NeuRoute,img1536,12,5,200,0.09,0.5,1,10000,16,1536,22.592007,6892.950266,7137.833221,1400.985382,145777781,145777781,0.85125,,,
NeuRoute,img1536,12,5,200,0.09,0.5,1,10000,16,1536,22.592007,6892.950266,7137.833221,1400.985382,145777781,145777781,0.85125,,,
NeuRoute,img1536,13,5,200,0.09,0.6,1,10000,16,1536,23.300891,7015.20719,7263.60184,1376.727445,150506042,150506042,0.84853,,,
NeuRoute,img1536,13,4,200,0.09,0.5,1,10000,16,1536,20.310977,6512.217056,6755.032493,1480.377779,137405894,137405894,0.84815,,,
NeuRoute,img1536,13,4,200,0.09,0.5,1,10000,16,1536,20.310977,6512.217056,6755.032493,1480.377779,137405894,137405894,0.84815,,,
NeuRoute,img1536,12,5,200,0.09,0.6,1,10000,16,1536,21.073642,6551.471212,6796.95599,1471.246837,141156183,141156183,0.84806,,,
NeuRoute,img1536,12,4,200,0.09,0.5,1,10000,16,1536,19.714887,6091.678489,6333.501408,1578.905467,131999339,131999339,0.84783,,,
NeuRoute,img1536,12,4,200,0.09,0.5,1,10000,16,1536,19.714887,6091.678489,6333.501408,1578.905467,131999339,131999339,0.84783,,,
NeuRoute,img1536,13,4,200,0.09,0.6,1,10000,16,1536,19.485445,6284.46958,6533.618949,1530.545335,132749480,132749480,0.84513,,,
NeuRoute,img1536,12,4,200,0.09,0.6,1,10000,16,1536,18.310075,5974.934218,6215.283427,1608.937085,127332424,127332424,0.84481,,,
NeuRoute,img1536,13,5,150,0.09,0.7,1,10000,16,1536,22.358689,6211.196818,6456.993462,1548.708398,132293288,132293288,0.84248,,,
NeuRoute,img1536,13,5,150,0.09,0.7,1,10000,16,1536,22.358689,6211.196818,6456.993462,1548.708398,132293288,132293288,0.84248,,,
NeuRoute,img1536,12,5,150,0.09,0.7,1,10000,16,1536,20.384405,5818.284134,6061.027054,1649.885393,122969234,122969234,0.84214,,,
NeuRoute,img1536,12,5,150,0.09,0.7,1,10000,16,1536,20.384405,5818.284134,6061.027054,1649.885393,122969234,122969234,0.84214,,,
NeuRoute,img1536,13,5,150,0.09,0.6,1,10000,16,1536,21.893263,6285.203598,6531.059433,1531.145154,131926722,131926722,0.83984,,,
NeuRoute,img1536,13,5,150,0.09,0.6,1,10000,16,1536,21.893263,6285.203598,6531.059433,1531.145154,131926722,131926722,0.83984,,,
NeuRoute,img1536,13,4,150,0.09,0.7,1,10000,16,1536,19.127292,5435.532739,5675.438985,1761.978241,114631251,114631251,0.83972,,,
NeuRoute,img1536,13,4,150,0.09,0.7,1,10000,16,1536,19.127292,5435.532739,5675.438985,1761.978241,114631251,114631251,0.83972,,,
NeuRoute,img1536,12,5,150,0.09,0.6,1,10000,16,1536,20.472822,5742.309283,5985.117246,1670.811045,122601966,122601966,0.83956,,,
NeuRoute,img1536,12,5,150,0.09,0.6,1,10000,16,1536,20.472822,5742.309283,5985.117246,1670.811045,122601966,122601966,0.83956,,,
NeuRoute,img1536,12,4,150,0.09,0.7,1,10000,16,1536,18.228111,5078.958544,5319.109721,1880.01386,109240470,109240470,0.83939,,,
NeuRoute,img1536,12,4,150,0.09,0.7,1,10000,16,1536,18.228111,5078.958544,5319.109721,1880.01386,109240470,109240470,0.83939,,,
NeuRoute,img1536,13,5,150,0.09,0.7,1,10000,16,1536,21.40808,6040.556599,6286.781919,1590.63892,130113395,130113395,0.8383,,,
NeuRoute,img1536,12,5,150,0.09,0.7,1,10000,16,1536,19.630718,5628.868684,5871.195022,1703.230767,120776388,120776388,0.83795,,,
NeuRoute,img1536,13,4,150,0.09,0.6,1,10000,16,1536,18.56278,5351.223514,5591.235048,1788.513614,114250799,114250799,0.83714,,,
NeuRoute,img1536,13,4,150,0.09,0.6,1,10000,16,1536,18.56278,5351.223514,5591.235048,1788.513614,114250799,114250799,0.83714,,,
NeuRoute,img1536,12,4,150,0.09,0.6,1,10000,16,1536,17.897079,5073.195263,5312.412973,1882.383778,108859045,108859045,0.83687,,,
NeuRoute,img1536,12,4,150,0.09,0.6,1,10000,16,1536,17.897079,5073.195263,5312.412973,1882.383778,108859045,108859045,0.83687,,,
NeuRoute,img1536,13,4,150,0.09,0.7,1,10000,16,1536,18.244972,5331.40327,5576.986653,1793.083007,112414411,112414411,0.83556,,,
NeuRoute,img1536,12,4,150,0.09,0.7,1,10000,16,1536,17.60558,4949.507945,5187.743559,1927.620339,107010338,107010338,0.83527,,,
NeuRoute,img1536,13,5,200,0.09,0.5,1,10000,16,1536,21.743281,6860.632292,7106.278282,1407.206361,147304565,147304565,0.83525,,,
NeuRoute,img1536,12,5,200,0.09,0.5,1,10000,16,1536,19.83927,6556.954084,6799.074204,1470.788478,137956089,137956089,0.83478,,,
NeuRoute,img1536,13,5,150,0.09,0.5,1,10000,16,1536,21.632202,6257.459301,6501.863907,1538.020504,131179609,131179609,0.83334,,,
NeuRoute,img1536,13,5,150,0.09,0.5,1,10000,16,1536,21.632202,6257.459301,6501.863907,1538.020504,131179609,131179609,0.83334,,,
NeuRoute,img1536,13,5,150,0.09,0.6,1,10000,16,1536,21.060788,6035.142387,6281.115623,1592.073861,129315390,129315390,0.83306,,,
NeuRoute,img1536,12,5,150,0.09,0.5,1,10000,16,1536,19.949548,5660.954575,5903.289658,1693.970748,121852242,121852242,0.83302,,,
NeuRoute,img1536,12,5,150,0.09,0.5,1,10000,16,1536,19.949548,5660.954575,5903.289658,1693.970748,121852242,121852242,0.83302,,,
NeuRoute,img1536,12,5,150,0.09,0.6,1,10000,16,1536,19.569824,5695.937938,5938.795072,1683.843251,119984488,119984488,0.83272,,,
NeuRoute,img1536,13,4,200,0.09,0.5,1,10000,16,1536,18.533505,6029.872566,6274.436181,1593.768701,129542922,129542922,0.83203,,,
NeuRoute,img1536,12,4,200,0.09,0.5,1,10000,16,1536,17.388451,5808.864371,6047.867078,1653.475493,124128561,124128561,0.83167,,,
NeuRoute,img1536,13,4,150,0.09,0.5,1,10000,16,1536,18.091082,5293.779383,5533.249429,1807.25632,113511022,113511022,0.8307,,,
NeuRoute,img1536,13,4,150,0.09,0.5,1,10000,16,1536,18.091082,5293.779383,5533.249429,1807.25632,113511022,113511022,0.8307,,,
NeuRoute,img1536,13,4,150,0.09,0.6,1,10000,16,1536,17.984352,5246.52716,5492.929222,1820.522274,111623254,111623254,0.83053,,,
NeuRoute,img1536,12,4,150,0.09,0.5,1,10000,16,1536,17.769248,4998.247455,5236.471206,1909.682992,108116889,108116889,0.83039,,,
NeuRoute,img1536,12,4,150,0.09,0.5,1,10000,16,1536,17.769248,4998.247455,5236.471206,1909.682992,108116889,108116889,0.83039,,,
NeuRoute,img1536,12,4,150,0.09,0.6,1,10000,16,1536,17.007565,5008.743125,5247.018213,1905.844347,106225598,106225598,0.83025,,,
NeuRoute,img1536,13,5,150,0.09,0.5,1,10000,16,1536,20.471659,6068.607523,6312.2101,1584.231171,127962844,127962844,0.8232,,,
NeuRoute,img1536,12,5,150,0.09,0.5,1,10000,16,1536,18.878013,5535.442433,5776.934922,1731.02175,118631663,118631663,0.82286,,,
NeuRoute,img1536,13,4,150,0.09,0.5,1,10000,16,1536,16.979533,5113.117946,5353.836188,1867.819569,110269824,110269824,0.82086,,,
NeuRoute,img1536,12,4,150,0.09,0.5,1,10000,16,1536,16.31934,4969.996928,5208.238082,1920.035114,104871966,104871966,0.82058,,,
NeuRoute,img1536,13,5,100,0.09,0.7,1,10000,16,1536,19.053954,5016.017686,5261.565131,1900.575162,104280682,104280682,0.81004,,,
NeuRoute,img1536,12,5,100,0.09,0.7,1,10000,16,1536,17.404842,4522.907135,4763.997959,2099.077306,94963639,94963639,0.80972,,,
NeuRoute,img1536,13,5,100,0.09,0.7,1,10000,16,1536,19.232699,4933.733098,5175.094421,1932.331893,104268667,104268667,0.80908,,,
